,index,dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value,pm10Value24,pm25Value24,khaiValue,khaiGrade,so2Grade,coGrade,o3Grade,no2Grade,pm10Grade,pm25Grade,pm10Grade1h,pm25Grade1h,date
1305,901,2020-01-18 01:00,0.003,0.8,0.001,0.049,47,30,47,29,85,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-18
1306,900,2020-01-18 02:00,0.002,0.7,0.001,0.044000000000000004,50,37,47,29,85,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-18
1307,899,2020-01-18 03:00,0.002,0.6,0.002,0.039,48,38,47,29,85,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-18
1308,898,2020-01-18 04:00,0.002,0.7,0.001,0.039,44,32,46,29,85,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-18
1309,897,2020-01-18 05:00,0.002,0.7,0.001,0.039,49,30,47,29,85,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-18
1310,896,2020-01-18 06:00,0.002,0.7,0.001,0.037000000000000005,65,31,50,28,82,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-18
1311,895,2020-01-18 07:00,0.002,0.7,0.001,0.037000000000000005,72,30,52,27,79,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-18
1312,894,2020-01-18 08:00,0.002,0.8,0.001,0.04,62,29,55,27,79,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-18
1313,893,2020-01-18 09:00,0.002,0.8,0.002,0.039,60,30,57,27,79,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-18
1314,892,2020-01-18 10:00,0.003,0.8,0.005,0.035,54,28,56,28,82,2.0,1,1,1,2,2,2.0,2,2.0,2020-01-18
1315,891,2020-01-18 11:00,0.004,0.7,0.009000000000000001,0.033,71,37,57,29,85,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-18
1316,890,2020-01-18 12:00,0.005,0.7,0.013000000000000001,0.032,59,44,57,30,87,2.0,1,1,1,2,2,2.0,2,3.0,2020-01-18
1317,889,2020-01-18 13:00,0.005,0.6,0.017,0.028999999999999998,50,40,56,32,92,2.0,1,1,1,1,2,2.0,2,3.0,2020-01-18
1318,888,2020-01-18 14:00,0.004,0.5,0.027000000000000003,0.017,26,-,51,32,92,2.0,1,1,1,1,2,2.0,1,3.0,2020-01-18
1319,887,2020-01-18 15:00,0.004,0.5,0.028999999999999998,0.013999999999999999,24,19,46,30,87,2.0,1,1,1,1,2,2.0,1,2.0,2020-01-18
1320,886,2020-01-18 16:00,0.003,0.4,0.03,0.013999999999999999,17,14,40,26,77,2.0,1,1,1,1,2,2.0,1,1.0,2020-01-18
1321,885,2020-01-18 17:00,0.003,0.4,0.027999999999999997,0.016,20,17,35,23,69,2.0,1,1,1,1,2,2.0,1,2.0,2020-01-18
1322,884,2020-01-18 18:00,0.003,0.4,0.02,0.026000000000000002,28,22,34,23,69,2.0,1,1,1,1,2,2.0,1,2.0,2020-01-18
1323,883,2020-01-18 19:00,0.003,0.4,0.015,0.032,24,-,32,23,69,2.0,1,1,1,2,2,2.0,1,2.0,2020-01-18
1324,882,2020-01-18 20:00,0.003,0.4,0.015,0.031,25,24,31,24,72,2.0,1,1,1,2,2,2.0,1,2.0,2020-01-18
1325,881,2020-01-18 21:00,0.004,0.4,0.011000000000000001,0.035,27,17,31,24,72,2.0,1,1,1,2,2,2.0,1,2.0,2020-01-18
1326,880,2020-01-18 22:00,0.003,0.4,0.009000000000000001,0.036000000000000004,30,14,30,22,66,2.0,1,1,1,2,1,2.0,1,1.0,2020-01-18
1327,879,2020-01-18 23:00,0.003,0.5,0.006,0.040999999999999995,18,8,27,19,68,2.0,1,1,1,2,1,2.0,1,1.0,2020-01-18
1328,878,2020-01-18 24:00,0.002,0.6,0.002,0.045,35,13,27,16,75,2.0,1,1,1,2,1,2.0,2,1.0,2020-01-18
