지점,지점명,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),습도(%)
133,대전,2020-01-18 0:01,-1.9,0,287.9,0.1,1014.4,62.2
133,대전,2020-01-18 0:02,-1.9,0,294.7,0.1,1014.4,62.4
133,대전,2020-01-18 0:03,-1.9,0,0,0,1014.4,62.6
133,대전,2020-01-18 0:04,-1.9,0,0,0,1014.4,62.7
133,대전,2020-01-18 0:05,-1.9,0,0,0,1014.5,62.7
133,대전,2020-01-18 0:06,-1.9,0,0,0.1,1014.5,62.3
133,대전,2020-01-18 0:07,-2,0,0,0,1014.5,62.1
133,대전,2020-01-18 0:08,-2,0,0,0,1014.5,61.6
133,대전,2020-01-18 0:09,-2.1,0,67.1,0.2,1014.5,61.5
133,대전,2020-01-18 0:10,-2.1,0,137,0.5,1014.4,61.3
133,대전,2020-01-18 0:11,-2.1,0,126.2,0.6,1014.4,61.2
133,대전,2020-01-18 0:12,-2.1,0,132.8,0.7,1014.4,61.1
133,대전,2020-01-18 0:13,-2.2,0,130,0.7,1014.4,60.9
133,대전,2020-01-18 0:14,-2.2,0,107,0.6,1014.4,60.9
133,대전,2020-01-18 0:15,-2.2,0,0,0.1,1014.4,61.1
133,대전,2020-01-18 0:16,-2.2,0,0,0,1014.4,61.1
133,대전,2020-01-18 0:17,-2.2,0,57.1,0.1,1014.4,61.5
133,대전,2020-01-18 0:18,-2.2,0,50.7,0.2,1014.4,62
133,대전,2020-01-18 0:19,-2.2,0,59.7,0.3,1014.4,62.3
133,대전,2020-01-18 0:20,-2.2,0,81.1,0.1,1014.4,62.4
133,대전,2020-01-18 0:21,-2.2,0,0,0,1014.3,62.4
133,대전,2020-01-18 0:22,-2.2,0,257,0.1,1014.3,62.5
133,대전,2020-01-18 0:23,-2.2,0,210.1,0.3,1014.3,62.6
133,대전,2020-01-18 0:24,-2.2,0,227.2,0.6,1014.3,62.9
133,대전,2020-01-18 0:25,-2.2,0,167.7,1.3,1014.3,63.2
133,대전,2020-01-18 0:26,-2.2,0,197.4,1.4,1014.3,63.3
133,대전,2020-01-18 0:27,-2.2,0,172.9,1.6,1014.3,63.6
133,대전,2020-01-18 0:28,-2.1,0,189.6,1.7,1014.3,64.1
133,대전,2020-01-18 0:29,-2.1,0,186.5,1.7,1014.3,64.2
133,대전,2020-01-18 0:30,-2.2,0,188.8,1.6,1014.3,64.2
133,대전,2020-01-18 0:31,-2.2,0,188,1.6,1014.3,64.4
133,대전,2020-01-18 0:32,-2.2,0,190.2,1.2,1014.3,64.5
133,대전,2020-01-18 0:33,-2.2,0,194.2,1.2,1014.3,64.6
133,대전,2020-01-18 0:34,-2.2,0,186.4,1.1,1014.3,64.7
133,대전,2020-01-18 0:35,-2.2,0,184.8,1.2,1014.3,64.9
133,대전,2020-01-18 0:36,-2.2,0,188.4,1.1,1014.3,65
133,대전,2020-01-18 0:37,-2.2,0,206.6,0.8,1014.3,65.1
133,대전,2020-01-18 0:38,-2.2,0,217.8,1,1014.3,65.2
133,대전,2020-01-18 0:39,-2.2,0,225.6,1.3,1014.3,65.2
133,대전,2020-01-18 0:40,-2.2,0,236.9,1.3,1014.3,65.4
133,대전,2020-01-18 0:41,-2.2,0,240.3,1.4,1014.2,65.5
133,대전,2020-01-18 0:42,-2.2,0,238.4,1.4,1014.2,65.7
133,대전,2020-01-18 0:43,-2.2,0,236.4,1.3,1014.2,65.8
133,대전,2020-01-18 0:44,-2.2,0,236.5,1.3,1014.2,66
133,대전,2020-01-18 0:45,-2.3,0,241.5,1.1,1014.2,66.1
133,대전,2020-01-18 0:46,-2.3,0,244.8,1.4,1014.2,66.2
133,대전,2020-01-18 0:47,-2.3,0,237.9,1.3,1014.2,66.4
133,대전,2020-01-18 0:48,-2.3,0,241.6,1.5,1014.2,66.5
133,대전,2020-01-18 0:49,-2.3,0,240.4,1.4,1014.2,66.6
133,대전,2020-01-18 0:50,-2.4,0,242.4,1.4,1014.2,66.7
133,대전,2020-01-18 0:51,-2.4,0,239.6,1.3,1014.2,66.8
133,대전,2020-01-18 0:52,-2.4,0,238.9,1.3,1014.2,67
133,대전,2020-01-18 0:53,-2.4,0,236.1,1.3,1014.2,67.1
133,대전,2020-01-18 0:54,-2.4,0,233.6,1.2,1014.2,67.1
133,대전,2020-01-18 0:55,-2.5,0,236.7,1.2,1014.2,67.1
